Region,Vehicle Score,Appliance Score,Communication Access Score,Cooperative Member Score,Potable Water Score,Insurance Score,Government Assistance Score,Number of Children Score,Sick Family Members Score,Income Class Score,Electricity Score,Adaptability Score,Adaptability Category,adm1_psgc
BARMM,1.3733333333333335,1.362943722943723,2.4308571428571426,1.081038961038961,2.6566233766233767,1.477922077922078,2.28,3.1787012987012986,4.062857142857143,1.12987012987013,4.357922077922078,2.308369933097206,Developing Adaptability,1900000000
Bicol Region,1.3321364452423698,1.7035707161380411,2.7084380610412926,1.6678635547576302,2.9807001795332138,3.0466786355475763,2.718132854578097,3.3433572710951527,3.538599640933573,1.169210053859964,4.710951526032316,2.629058085341748,Moderate Adaptability,500000000
CALABARZON,1.3405456255879586,2.102749033134734,2.890122295390405,1.2295390404515525,3.541862652869238,3.728127939793039,1.5663217309501412,3.586077140169332,3.9689557855127,1.2394167450611475,4.924741298212606,2.7380417533757138,Moderate Adaptability,400000000
CAR,1.351645207439199,1.8803051979017644,2.8798283261802573,3.096137339055794,3.1592274678111587,2.9055793991416308,2.187982832618026,3.57725321888412,4.490128755364807,1.251931330472103,4.860944206008584,2.8764512073524946,Moderate Adaptability,1400000000
Cagayan Valley,1.523781561949501,1.9700528479154436,2.990839694656488,3.633000587199061,3.311802701115678,3.010569583088667,2.092190252495596,3.53904873752202,4.497357604227833,1.2395772166764534,4.805049911920141,2.964842790796989,Moderate Adaptability,200000000
Caraga,1.4039175954069572,1.7875717662951705,2.7155015197568386,1.3931104356636272,3.3941236068895644,3.3991894630192503,2.858156028368794,3.3941236068895644,3.520770010131712,1.2416413373860182,4.7993920972644375,2.718863406097449,Moderate Adaptability,1600000000
Central Luzon,1.4424388287204173,2.1105762802513706,2.931407942238267,1.161251504211793,3.425391095066185,3.2972322503008424,1.6221419975932612,3.5006016847172083,4.3694344163658245,1.2132972322503008,4.891696750902527,2.724133634783454,Moderate Adaptability,300000000
Central Visayas,1.3797766019988242,1.786596119929453,2.924514991181658,2.015873015873016,3.5198412698412698,3.3580246913580245,2.2433862433862437,3.601410934744268,4.571428571428571,1.1904761904761905,4.696649029982363,2.8443616054727165,Moderate Adaptability,700000000
Davao Region,1.3680823680823682,1.6347299680633014,2.5667095667095667,1.2642642642642643,3.1866151866151866,2.885885885885886,2.4826254826254828,3.495924495924496,4.543543543543543,1.151008151008151,4.468039468039468,2.640675307341974,Moderate Adaptability,1100000000
Eastern Visayas,1.3549584133077417,1.7419918959266367,2.632552783109405,2.047216890595009,3.343570057581574,2.7658349328214973,2.0625719769673703,3.49021113243762,3.991170825335893,1.162380038387716,4.791170825335892,2.671239070164214,Moderate Adaptability,800000000
Ilocos,1.4919302775984506,2.043540635535471,3.066365397030342,1.4028405422853454,3.57843770174306,3.13557133634603,1.8754034861200772,3.615881213686249,4.256294383473208,1.1936733376371853,4.938024531956101,2.781632985764684,Moderate Adaptability,100000000
MIMAROPA,1.4750922509225093,1.8167281672816729,2.665313653136532,1.6789667896678966,3.321955719557196,3.1346863468634685,2.522140221402214,3.3648523985239853,3.789667896678967,1.1637453874538746,4.6642066420664205,2.690668679414067,Moderate Adaptability,1700000000
Northern Mindanao,1.3736176935229067,1.8497454800772335,2.9832543443917854,1.4786729857819905,3.1856240126382307,3.0995260663507107,2.360189573459716,3.45695102685624,4.148499210110584,1.1338862559241707,4.671406003159557,2.703761150206648,Moderate Adaptability,1000000000
SOCCSKSARGEN,1.3687943262411348,1.7292069632495164,2.7740812379110253,1.632495164410058,3.127176015473888,2.9264990328820115,2.365570599613153,3.467117988394584,3.8355899419729207,1.1876208897485494,4.707930367504836,2.647462047945607,Moderate Adaptability,1200000000
Western Visayas,1.347763864042934,1.82432915921288,2.9423255813953486,1.3592128801431127,3.255813953488372,3.11520572450805,2.41824686940966,3.535599284436494,3.9323792486583184,1.1803220035778177,4.822540250447228,2.703067165392747,Moderate Adaptability,600000000
Zamboanga Peninsula,1.3585951940850278,1.675566509207914,2.761675908810844,1.4313000616142946,3.075785582255083,2.4467036352433764,2.7325939617991373,3.3555144793592118,4.398644485520641,1.1786814540973505,4.4849044978435,2.627269615439671,Moderate Adaptability,900000000
