adm1_psgc,Total Disasters,Weather related,Geophysical,Flood,Storm,Mass Movement,Earthquake,Volcanic activity,Region
1900000000,3.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,BARMM
500000000,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Bicol Region
400000000,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,CALABARZON
200000000,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Cagayan Valley
1600000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Caraga
300000000,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,Central Luzon
700000000,6.0,6.0,0.0,5.0,1.0,0.0,0.0,0.0,Central Visayas
1400000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAR
1100000000,5.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,Davao Region
800000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Visayas
100000000,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,Ilocos
1700000000,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,MIMAROPA
1000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Northern Mindanao
1200000000,7.0,7.0,0.0,5.0,2.0,0.0,0.0,0.0,SOCCSKSARGEN
600000000,7.0,6.0,1.0,4.0,2.0,1.0,0.0,0.0,Western Visayas
900000000,6.0,4.0,2.0,3.0,1.0,0.0,1.0,1.0,Zamboanga Peninsula
