adm1_psgc,Region,Total Population,Land Area,Population Density
400000000,CALABARZON,16185042,16576.26,977
300000000,Central Luzon,12422172,21906.19,567
700000000,Central Visayas,8081988,15872.58,509
100000000,Ilocos,5301139,12964.62,409
600000000,Western Visayas,7954723,20778.29,383
500000000,Bicol Region,6082165,18114.47,336
1100000000,Davao Region,5243536,20443.48,257
1000000000,Northern Mindanao,5022768,20458.51,246
900000000,Zamboanga Peninsula,3875576,16904.03,229
1200000000,SOCCSKSARGEN,4901486,22786.08,215
200000000,Cagayan Valley,3685744,29836.88,124
800000000,Eastern Visayas,4547150,23234.78,196
1600000000,Caraga,2804788,21120.56,133
1900000000,BARMM,4404288,36650.95,120
1700000000,MIMAROPA,3228558,29606.25,109
1400000000,CAR,1797660,19818.12,91
