adm1_psgc,Region,Event Name,Date of Event (start),Hazard Category,Hazard Type
1200000000.0,SOCCSKSARGEN,Philippines: Flash flood - South Cotabato (Koronadal) - 28/07/2020,2020-07-28,Weather related,Flood
300000000.0,Central Luzon,Philippines: Tornado - Bulacan (Pulilan) - 06/07/2020,2020-07-06,Weather related,Storm
100000000.0,Ilocos,Philippines: Tornado - Pangasinan (Basista) - 14/05/2020,2020-05-14,Weather related,Storm
1200000000.0,SOCCSKSARGEN,Philippines: Tornado - Sultan Kudarat (President Quirino) - 07/06/2020,2020-06-07,Weather related,Storm
1200000000.0,SOCCSKSARGEN,Philippines: Flash flood - Sultan Kudarat (Bagumbayan) - 14/09/2020,2020-09-14,Weather related,Flood
100000000.0,Ilocos,Philippines: Tornado - Pangasinan (Bayambang) - 27/04/2020,2020-04-27,Weather related,Storm
900000000.0,Zamboanga Peninsula,Philippines: Flash flood - Davao del Sur (Digos) - 28/06/2020,2020-06-28,Weather related,Flood
600000000.0,Western Visayas,Philippines: Flash flood - Zamboanga (Zamboanga Sibugay) - 24/06/2020,2020-06-24,Weather related,Flood
600000000.0,Western Visayas,Philippines: Dry mass movement - Negros Occidental (Bago) -  24/06/2020,2020-06-24,Geophysical,Mass Movement
1900000000.0,BARMM,Philippines: Flood - Culasi (Antique) - 15/09/2020,2020-09-15,Weather related,Flood
500000000.0,Bicol Region,Philippines: Soil erosion - Lanao del Sur (Marawi city) - 2020 ,2020-08-09,Weather related,Mass Movement
900000000.0,Zamboanga Peninsula,Philippines: Earthquake - Bicol (Masbate) - 18/08/2020,2020-08-18,Geophysical,Earthquake
1100000000.0,Davao Region,Philippines: Flash flood - Zamboanga (Zamboanga Sibugay) - 31/07/2020,2020-07-31,Weather related,Flood
700000000.0,Central Visayas,Philippines: Flash flood - Davao (Davao de Oro) - 13/08/2020,2020-08-13,Weather related,Flood
600000000.0,Western Visayas,Philippines: Whirlwind - Misamis Occidental (Tudela) - 05/08/2020,2020-08-05,Weather related,Storm
1100000000.0,Davao Region,Philippines: Flood - Western Visayas (Negros Occidental) - 31/07/2020,2020-07-31,Weather related,Flood
900000000.0,Zamboanga Peninsula,Philippines: Flash flood - Davao del Sur (Davao city) - 04/08/2020,2020-08-04,Weather related,Flood
1200000000.0,SOCCSKSARGEN,Philippines: Flash flood - Zamboanga - 09/08/2020,2020-08-09,Weather related,Flood
900000000.0,Zamboanga Peninsula,Philippines: Flash flood - Sultan Kudarat (Palimbang) - 15/09/2020 ,2020-09-15,Weather related,Flood
1200000000.0,SOCCSKSARGEN,Philippines: Flash flood - Zamboanga (Zamboanga city) - 15/09/2020,2020-09-15,Weather related,Flood
900000000.0,Zamboanga Peninsula,Philippines: Storm - South Cotabato (Surallah) - 11/08/2020,2020-08-11,Weather related,Storm
1200000000.0,SOCCSKSARGEN,Philippines: Southwest Monsoon enhanced by Tropical Storm Leon - Occidental Mindoro (Magsaysay) - 15/09/2020,2020-09-15,Weather related,Storm
1100000000.0,Davao Region,Philippines: Tornado - Sultan Kudarat (Lambayong) - 22/09/2020,2020-09-22,Weather related,Storm
700000000.0,Central Visayas,Philippines: Flash flood - Davao del Sur (Davao City) -19/10/2020,2020-10-19,Weather related,Flood
100000000.0,Ilocos,Philippines: Flooding - Cebu - 04/10/2020,2020-10-04,Weather related,Flood
